movie,year,genre,color,language,country,rating,duration,budget
Spirited Away,2001,Adventure,Color,Japanese,Japan,PG,125,"$19,000,000.00 "
Psycho,1960,Horror,Black and White,English,USA,R,108,"$806,947.00 "
Schindler's List,1993,Biography,Black and White,English,USA,R,185,"$22,000,000.00 "
Pulp Fiction,1994,Crime,Color,English,USA,R,178,"$8,000,000.00 "
Toy Story,1995,Adventure,Color,English,USA,G,74,"$30,000,000.00 "
Apocalypse Now,1979,Drama,Color,English,USA,R,289,"$31,500,000.00 "
A Separation,2011,Drama,Color,Persian,Iran,PG-13,123,"$500,000.00 "
Goodfellas,1990,Biography,Color,English,USA,R,146,"$25,000,000.00 "
The Lord of the Rings: The Fellowship of the Ring,2001,Action,Color,English,New Zealand,PG-13,171,"$93,000,000.00 "
Alien,1979,Horror,Color,English,UK,R,116,"$11,000,000.00 "
L.A. Confidential,1997,Crime,Color,English,USA,R,138,"$35,000,000.00 "
On the Waterfront,1954,Crime,Black and White,English,USA,Not Rated,108,"$910,000.00 "
The Lord of the Rings: The Two Towers,2002,Action,Color,English,USA,PG-13,172,"$94,000,000.00 "
Saving Private Ryan,1998,Action,Color,English,USA,R,169,"$70,000,000.00 "
The Lord of the Rings: The Return of the King,2003,Action,Color,English,USA,PG-13,192,"$94,000,000.00 "
Star Wars: Episode IV - A New Hope,1977,Action,Color,English,USA,PG,125,"$11,000,000.00 "
Pan's Labyrinth,2006,Drama,Color,Spanish,Spain,R,112,"$13,500,000.00 "
Back to the Future,1985,Adventure,Color,English,USA,PG,116,"$19,000,000.00 "
Some Like It Hot,1959,Comedy,Black and White,English,USA,Not Rated,120,"$2,883,848.00 "
Hoop Dreams,1994,Documentary,Color,English,USA,PG-13,170,"$700,000.00 "
The Shawshank Redemption,1994,Crime,Color,English,USA,R,142,"$25,000,000.00 "
The Dark Knight,2008,Action,Color,English,USA,PG-13,152,"$185,000,000.00 "
Star Wars: Episode V - The Empire Strikes Back,1980,Action,Color,English,USA,PG,127,"$18,000,000.00 "
The Lives of Others,2006,Drama,Color,German,Germany,R,137,"$2,000,000.00 "
Toy Story 3,2010,Adventure,Color,English,USA,G,103,"$200,000,000.00 "
Inside Out,2015,Adventure,Color,English,USA,PG,95,"$175,000,000.00 "
The Silence of the Lambs,1991,Crime,Color,English,USA,R,138,"$19,000,000.00 "
Raiders of the Lost Ark,1981,Action,Color,English,USA,PG,115,"$18,000,000.00 "
Whiplash,2014,Drama,Color,English,USA,R,107,"$3,300,000.00 "
The Best Years of Our Lives,1946,Drama,Black and White,English,USA,Not Rated,172,"$2,100,000.00 "
Aliens,1986,Action,Color,English,USA,R,154,"$18,500,000.00 "
Eternal Sunshine of the Spotless Mind,2004,Drama,Color,English,USA,R,108,"$20,000,000.00 "
One Flew Over the Cuckoo's Nest,1975,Drama,Color,English,USA,R,133,"$4,400,000.00 "
The Lion King,1994,Adventure,Color,English,USA,G,73,"$45,000,000.00 "
Up,2009,Adventure,Color,English,USA,PG,96,"$175,000,000.00 "
Gone with the Wind,1939,Drama,Color,English,USA,G,226,"$3,977,000.00 "
Spotlight,2015,Biography,Color,English,USA,R,128,"$20,000,000.00 "
Ratatouille,2007,Animation,Color,English,USA,G,111,"$150,000,000.00 "
Persepolis,2007,Animation,Color,French,France,PG-13,89,"$7,300,000.00 "
No End in Sight,2007,Documentary,Color,English,USA,,102,"$2,000,000.00 "
Finding Nemo,2003,Adventure,Color,English,USA,G,100,"$94,000,000.00 "
Annie Hall,1977,Comedy,Color,English,USA,PG,93,"$4,000,000.00 "
The Bridge on the River Kwai,1957,Adventure,Color,English,UK,PG,161,"$3,000,000.00 "
12 Years a Slave,2013,Biography,Color,English,USA,R,134,"$20,000,000.00 "
Jaws,1975,Adventure,Color,English,USA,PG,130,"$8,000,000.00 "
Before Sunset,2004,Drama,Color,English,USA,R,80,"$2,700,000.00 "
Memento,2000,Mystery,Black and White,English,USA,R,113,"$9,000,000.00 "
Toy Story 2,1999,Adventure,Color,English,USA,G,82,"$90,000,000.00 "
Unforgiven,1992,Drama,Color,English,USA,R,131,"$14,400,000.00 "
Before Sunrise,1995,Drama,Color,English,USA,R,105,"$2,500,000.00 "
The Iron Giant,1999,Action,Color,English,USA,PG,90,"$70,000,000.00 "
Aladdin,1992,Adventure,Color,English,USA,G,90,"$28,000,000.00 "
Waltz with Bashir,2008,Animation,Color,Hebrew,Israel,R,90,"$1,500,000.00 "
The Pianist,2002,Biography,Black and White,English,France,R,150,"$35,000,000.00 "
American Beauty,1999,Drama,Color,English,USA,R,122,"$15,000,000.00 "
Room,2015,Drama,Color,English,Ireland,R,118,"$13,000,000.00 "
The Sting,1973,Comedy,Color,English,USA,PG,129,"$5,500,000.00 "
Blade Runner,1982,Sci-Fi,Color,English,USA,R,117,"$28,000,000.00 "
Mad Max: Fury Road,2015,Action,Color,English,Australia,R,120,"$150,000,000.00 "
Terminator 2: Judgment Day,1991,Action,Color,English,USA,R,153,"$102,000,000.00 "
Do the Right Thing,1989,Drama,Color,English,USA,R,120,"$6,500,000.00 "
The Fugitive,1993,Action,Color,English,USA,PG-13,130,"$44,000,000.00 "
The King's Speech,2010,Biography,Color,English,UK,R,118,"$15,000,000.00 "
Hero,2002,Action,Black and White,Mandarin,China,PG-13,80,"$31,000,000.00 "
Hero,2002,Action,Black and White,Mandarin,China,PG-13,80,"$31,000,000.00 "
"4 Months, 3 Weeks and 2 Days",2007,Drama,Color,Romanian,Romania,Not Rated,113,"$590,000.00 "
Once,2007,Drama,Color,English,Ireland,R,85,"$180,000.00 "
Goldfinger,1964,Action,Color,English,UK,Approved,110,"$3,000,000.00 "
Man on Wire,2008,Biography,Color,English,UK,PG-13,90,"$1,000,000.00 "
The Usual Suspects,1995,Crime,Color,English,USA,R,106,"$6,000,000.00 "
Trainspotting,1996,Drama,Color,English,UK,R,94,"$3,500,000.00 "
The Act of Killing,2012,Biography,Color,Indonesian,UK,Not Rated,96,"$1,000,000.00 "
The Straight Story,1999,Biography,Color,English,France,G,112,"$10,000,000.00 "
Sling Blade,1996,Drama,Color,English,USA,R,148,"$890,000.00 "
The Insider,1999,Biography,Color,English,USA,R,157,"$68,000,000.00 "
