"","restaurant","sandwich","serving_size","calories","fat","sat_fat","trans_fat","chol","sodium","carbs","fiber","sugar","add_sugar","protein","vit_a","vit_c","calcium","iron"
"1","Subway","Roast beef Wrap",335,500,14,3,0,75,1440,58,3,7,0,38,30,15,8,35
"2","Erbert & Gerbert's","Tappy (Honey Wheat Bread)",347,778,41,11,0,53,1574,71,5,6,NA,30,15,13,28,38
"3","Subway","Italian B.M.T.",351,240,15,5,0,50,880,12,4,5,1,14,70,45,6,15
"4","Potbelly","Pizza Melt",NA,750,35,14,0,90,2200,70,4,7,NA,39,NA,NA,NA,NA
"5","Subway","Veggie Delite",287,50,1,0,0,0,75,9,4,5,0,3,70,35,4,8
"6","Erbert & Gerbert's","Tappy (French Bread)",319,758,40,11,0,53,1544,71,3,4,NA,31,15,13,22,28
"7","Potbelly","Ham, Mushroom, Egg & Swiss",NA,720,27,12,0,340,2210,67,3,6,NA,51,NA,NA,NA,NA
"8","Jimmy Johns","The Veggie (#6)",NA,502.5,29.25,9.75,0,48.75,810,48,4.5,1.5,NA,25.5,NA,NA,NA,NA
"9","Erbert & Gerbert's","327",647,206,10,0,117,1537,63,5,23,43,NA,10,15,47,56,NA
"10","Jimmy Johns","Country Club (#11)",NA,585,23.25,6,0,75,1485,48.75,3.75,2.25,NA,38.25,NA,NA,NA,NA
"11","Subway","Meatball  Marinara Wrap",381,780,38,14,2,75,2010,76,7,11,5,34,20,25,15,35
"12","Subway","Buffalo Chicken with Grilled Chicken",254,380,12,3,0,55,1380,42,3,6,3,25,25,20,2,15
"13","Subway","Steak (Includes American Cheese)",370,210,9,4,0,65,740,12,4,6,1,22,70,35,10,15
"14","Quiznos","Honey Bourbon Wheat Wrap",259,470,12,3.5,0.2,45,1100,66,7,15,NA,25,NA,NA,8,28
"15","Quiznos","Meatball Sub",235,530,24,10,0.5,55,1280,54,4,6,NA,26,NA,NA,17,22
"16","Firehouse","Hero",NA,600,28.5,6,NA,67.5,1755,47.25,3,11.25,NA,36,NA,NA,NA,NA
"17","Quiznos","Chipotle Steak and Cheddar Wheat Wrap",267,680,37,10,0.5,65,1550,57,7,4,NA,29,NA,NA,17,31
"18","Subway","Turkey Cali Club with Smashed Avocado (#12)",275,600,34,10,0,70,1310,43,6,7,4,33,25,15,10,25
"19","Potbelly","Roast Beef & Provolone",NA,610,21,9,0,80,1300,63,2,4,NA,42,NA,NA,NA,NA
"20","Jimmy Johns","Slim 4",NA,315,2.25,0,0,22.5,697.5,44.25,3,0,NA,22.5,NA,NA,NA,NA
"21","Jimmy Johns","Slim 1",NA,405,9.75,4.5,0,37.5,1207.5,51.75,3,0.75,NA,24.75,NA,NA,NA,NA
"22","Jimmy Johns","Bootlegger Club (#14)",NA,510,17.25,2.625,0,67.5,1177.5,46.5,3.75,1.5,NA,35.25,NA,NA,NA,NA
"23","Subway","Veggie Patty",247,390,11,1,0,0,690,56,13,8,3,16,30,25,2,15
"24","Erbert & Gerbert's","Neuron (French Bread)",335,654,23,10,1,70,2034,82,5,22,NA,36,2,4,32,26
"25","Subway","Italian B.M.T.",219,400,16,6,0,50,1180,43,3,6,3,19,15,30,4,15
"26","Firehouse","Engineer",NA,517.5,26.25,6,NA,48.75,1522.5,44.25,4.5,6.75,NA,27.75,NA,NA,NA,NA
"27","Erbert & Gerbert's","Vesuvius (Honey Wheat Bread)",378,752,20,11,0,117,1737,89,5,24,NA,50,10,45,38,28
"28","Erbert & Gerbert's","Saturn (Honey Wheat Bread)",445,948,51,18,0,128,2519,73,6,8,NA,43,18,51,38,30
"29","Quiznos","Chipotle Steak and Cheddar Sub",254,580,30,8,0.5,70,1450,51,4,5,NA,28,NA,NA,13,19
"30","Subway","The Philly (#1)",192,500,25,9,1,85,1310,41,2,5,3,28,10,15,10,15
"31","Erbert & Gerbert's","Girf (Gluten Free Bread)",393,759,43,10,0,93,1986,62,8,7,NA,33,15,10,33,24
"32","Potbelly","Wrecking Ball",NA,840,41,16,0,125,2460,72,7,7,NA,50,NA,NA,NA,NA
"33","Quiznos","Signature Tuna Wheat Wrap",282,630,32,9,0.5,25,1370,58,7,6,NA,28,NA,NA,15,25
"34","Quiznos","Beef & Swiss Melt Wheat Wrap",248,660,34,9,0.5,60,1390,57,6,5,NA,30,NA,NA,19,31
"35","Subway","The Beast (#30)",317,730,44,14,1,115,2080,45,3,7,5,40,20,25,20,25
"36","Subway","Oven Roasted Turkey &  Ham Wrap",307,440,11,2,0,50,1560,56,3,5,1,30,30,15,8,30
"37","Subway","Black Forest Ham Wrap",307,440,11,2,0,55,1570,58,3,6,0,28,30,15,8,25
"38","Erbert & Gerbert's","Northern Cheesesteak (French Bread)",264,670,32,8,0,61,1435,66,3,4,NA,35,1,13,4,28
"39","Potbelly","Steakhouse Beef",NA,790,37,15,0,110,1760,64,2,4,NA,49,NA,NA,NA,NA
"40","Subway","Buffalo Chicken Wrap (with Grilled Chicken)",356,560,19,4,0,110,1800,56,3,5,2,42,30,15,8,25
